Design Table for: G2Fujara_MasterLayout,,,,,,,,,,,,,,,,,,,,,,,
,$DESCRIPTION,$COLOR,$VALUE@g_body_OD@Equations,$VALUE@g_body_ID@Equations,$VALUE@g_body_L_finished@Equations,$VALUE@g_body_L_blank@Equations,$VALUE@g_body_blank_W@Equations,$VALUE@g_mp_block_OD@Equations,$VALUE@g_mp_block_ID@Equations,$VALUE@g_mp_block_L_blank@Equations,$VALUE@g_mp_block_blank_W@Equations,$VALUE@g_mp_tube_OD@Equations,$VALUE@g_mp_tube_ID@Equations,$VALUE@g_dowel_OD@Equations,$VALUE@g_thru_passage_OD@Equations,$VALUE@g_mp_origin_z@Equations,$VALUE@g_fipple_to_hole1@Equations,$VALUE@g_fipple_to_hole2@Equations,$VALUE@g_fipple_to_hole3@Equations,$VALUE@g_hole_dia@Equations,$VALUE@c_glue_gap@Equations,$VALUE@c_wax_seal_fit@Equations,$VALUE@c_slip_fit@Equations,$VALUE@c_dowel_clearance@Equations,$VALUE@c_cork_press@Equations
MASTER_TEMPLATE,seed - do not delete,15000804,=47.625mm,=31.75mm,=1755.775mm,=1803.4mm,=57.15mm,=28.575mm,=15.875mm,=735.584mm,=38.1mm,=15.875mm,=9.525mm,=6.35mm,=12.7mm,=22.225mm,=1157.224mm,=1242.314mm,=1412.494mm,=7.62mm,=0.0762mm,=0.0762mm,=0.381mm,=0mm,=0.1524mm
G2_69in,low G2 - current build,15000804,=47.625mm,=31.75mm,=1755.775mm,=1803.4mm,=57.15mm,=28.575mm,=15.875mm,=735.584mm,=38.1mm,=15.875mm,=9.525mm,=6.35mm,=12.7mm,=22.225mm,=1157.224mm,=1242.314mm,=1412.494mm,=7.62mm,=0.0762mm,=0.0762mm,=0.381mm,=0mm,=0.1524mm
D2_94in,low D2 - traditional bass fujara - TBD from workbook,15000804,=47.625mm,=31.75mm,=2390.0mm,=2438.0mm,=57.15mm,=28.575mm,=15.875mm,=735.584mm,=38.1mm,=15.875mm,=9.525mm,=6.35mm,=12.7mm,=22.225mm,=1574.8mm,=1690.6mm,=1922.0mm,=8.5mm,=0.0762mm,=0.0762mm,=0.381mm,=0mm,=0.1524mm
F2_77in,F2 size class - TBD from workbook,15000804,=47.625mm,=31.75mm,=1956.0mm,=2003.0mm,=57.15mm,=28.575mm,=15.875mm,=735.584mm,=38.1mm,=15.875mm,=9.525mm,=6.35mm,=12.7mm,=22.225mm,=1289.0mm,=1383.5mm,=1573.4mm,=8.0mm,=0.0762mm,=0.0762mm,=0.381mm,=0mm,=0.1524mm
A2_60in,A2 high fujara - compact - TBD from workbook,15000804,=47.625mm,=31.75mm,=1524.0mm,=1572.0mm,=57.15mm,=28.575mm,=15.875mm,=735.584mm,=38.1mm,=15.875mm,=9.525mm,=6.35mm,=12.7mm,=22.225mm,=1004.6mm,=1078.4mm,=1226.0mm,=7.0mm,=0.0762mm,=0.0762mm,=0.381mm,=0mm,=0.1524mm
