mode_index,separate_modal_hz,integrated_modal_hz,delta_modal_hz,delta_modal_cents,separate_coupled_hz,integrated_coupled_hz,delta_coupled_hz,delta_coupled_cents
1,110.001131,110.001131,0.000000,0.0000,109.998052,109.998052,0.000000,0.0000
2,220.009047,220.009047,0.000000,0.0000,220.002888,220.002888,0.000000,0.0000
3,330.030535,330.030535,0.000000,0.0000,330.021296,330.021296,0.000000,0.0000
4,440.072381,440.072381,0.000000,0.0000,440.060060,440.060060,0.000000,0.0000
5,550.141372,550.141372,0.000000,0.0000,550.125969,550.125969,0.000000,0.0000
